"告警发生日期","电站id","告警id","告警设备","告警名称","告警开始时间","告警结束时间"
"2025-12-22","287","a6f15990-8d0f-424e-bc49-73f9ef97b1b9","ems","高压电表数据 udp 广播接收超时异常","22/12/2025 08:41:54","22/12/2025 08:41:59"
"2025-12-22","287","cffd4f1a-d410-4e48-adec-49e710abdf78","lc","QF1（电网）反馈","22/12/2025 08:47:06","26/12/2025 01:09:35"
"2025-12-22","287","72c18f34-25b0-4279-934d-d1d1906cdcb5","pcs","交流母线欠频","22/12/2025 08:47:07","22/12/2025 08:47:38"
"2025-12-22","287","d01e9ec1-07b3-4b7f-8bc3-ba6cf02be4bd","pcs","交流母线欠压","22/12/2025 08:47:07","22/12/2025 08:47:38"
"2025-12-22","287","5bdc2429-b91d-4ba9-860f-55cd3e1062cc","pcs","直流输入欠压","22/12/2025 08:47:06","22/12/2025 08:47:38"
"2025-12-22","287","c822ac7e-aba9-42c6-bc4f-ac55ab172902","lc","QF2（电池簇）反馈","22/12/2025 08:47:08","26/12/2025 01:09:36"
"2025-12-22","287","48a5e800-3ef7-4d36-9914-aec5e6783fd0","pcs","辅助电源故障1","22/12/2025 08:47:23","22/12/2025 08:47:38"
"2025-12-22","287","476f61aa-1b5b-42f1-b27e-ffe1675929c6","pcs","PCS通讯丢失","22/12/2025 08:47:42","26/12/2025 01:11:07"
"2025-12-24","205","c5b1d72d-5cc4-4672-8ec8-670ae67b0c96","lc","LC采集通讯丢失","24/12/2025 16:18:12","24/12/2025 16:18:22"
"2025-12-24","205","32d63544-36d9-4ec6-903f-15179c7a33a0","lc","LC控制通信丢失","24/12/2025 16:18:12","24/12/2025 16:18:25"
"2025-12-24","205","2c87dd1b-751c-4392-a61b-0b77c27a3bc2","lc","LC采集通讯丢失","24/12/2025 16:18:12","24/12/2025 16:18:17"
"2025-12-24","205","793e43b9-86df-4b93-b8b6-e4b5da71593c","lc","LC采集通讯丢失","24/12/2025 16:18:12","24/12/2025 16:18:18"
"2025-12-24","205","bad7480f-3ad5-4086-9aa0-48fefc0cc502","lc","LC控制通信丢失","24/12/2025 16:18:12","24/12/2025 16:18:16"
"2025-12-24","205","ded71d92-9768-465c-87db-0d19422f2ab1","lc","LC采集通讯丢失","24/12/2025 16:18:12","24/12/2025 16:18:15"
"2025-12-24","205","471ce49f-97ff-4cf4-8b2e-082c6fd41ef4","lc","LC采集通讯丢失","24/12/2025 16:18:21","24/12/2025 16:18:30"
"2025-12-24","205","df277f4b-c603-4fe7-90aa-79fa58e4a713","lc","LC采集通讯丢失","24/12/2025 16:18:29","24/12/2025 16:18:34"
